order_time,store_id,product,quantity,unit_price,amount,payment_type
2025-09-01 14:33:34,S002,Doodad,4,37.73,150.92,CARD
2025-09-01 11:07:36,S001,Gadget,2,168.72,337.44,CASH
2025-09-01 19:40:24,S010,Contraption,3,129.97,389.91,CASH
2025-09-01 21:18:39,S003,Gadget,5,137.23,686.15,CARD
2025-09-01 12:20:06,S005,Widget,3,100.56,301.68,WALLET
2025-09-01 15:58:12,S004,Doodad,3,43.84,131.52,CARD
2025-09-01 08:43:52,S007,Widget,3,100.07,300.21,WALLET
2025-09-01 18:29:37,S009,Doodad,2,40.76,81.52,CASH
2025-09-01 17:52:53,S001,Whatsit,2,53.26,106.52,CARD
2025-09-01 17:48:38,S009,Whatsit,3,63.07,189.21,WALLET
2025-09-01 09:23:21,S002,Thingamajig,5,88.09,440.45,WALLET
2025-09-01 20:03:43,S010,Apparatus,1,83.91,83.91,CARD
2025-09-01 17:41:18,S002,Whatsit,1,53.22,53.22,CASH
2025-09-01 10:44:33,S004,Widget,3,103.45,310.35,CASH
2025-09-01 09:32:48,S010,Doohickey,5,21.65,108.25,CARD
2025-09-01 12:31:19,S007,Contraption,3,137.27,411.81,WALLET
2025-09-01 09:20:16,S003,Doodad,2,35.97,71.94,WALLET
2025-09-01 14:41:22,S008,Gadget,3,174.43,523.29,UPI
2025-09-01 12:47:34,S009,Doohickey,2,17.3,34.6,UPI
2025-09-01 16:31:04,S009,Whatsit,4,65.35,261.4,WALLET
2025-09-01 12:08:14,S010,Doohickey,5,17.74,88.7,CASH
2025-09-01 22:31:09,S001,Gadget,4,176.03,704.12,WALLET
2025-09-01 14:36:40,S009,Apparatus,2,85.99,171.98,UPI
2025-09-01 19:00:21,S005,Widget,5,109.81,549.05,UPI
2025-09-01 10:12:34,S001,Gadget,1,138.35,138.35,CARD
2025-09-01 18:56:19,S007,Doodad,3,45.87,137.61,UPI
2025-09-01 18:39:44,S002,Doohickey,5,20.48,102.4,CASH
2025-09-01 18:39:52,S005,Widget,1,112.73,112.73,CARD
2025-09-01 11:01:10,S002,Doodad,5,36.45,182.25,UPI
2025-09-01 22:27:44,S005,Contraption,3,125.71,377.13,CASH
2025-09-01 10:19:16,S007,Doodad,2,40.72,81.44,CASH
2025-09-01 15:58:56,S008,Apparatus,3,101.17,303.51,WALLET
2025-09-01 15:24:30,S008,Gadget,3,160.2,480.6,CASH
2025-09-01 21:14:30,S003,Doohickey,1,19.17,19.17,WALLET
2025-09-01 14:19:02,S005,Contraption,1,116.28,116.28,CASH
2025-09-01 08:11:49,S004,Doohickey,3,19.63,58.89,CARD
2025-09-01 17:37:03,S005,Doodad,2,43.97,87.94,CASH
2025-09-01 21:42:00,S006,Doodad,1,44.43,44.43,WALLET
2025-09-01 08:44:04,S005,Contraption,1,122.37,122.37,CASH
2025-09-01 08:56:14,S009,Widget,3,91.39,274.17,CARD
2025-09-01 08:01:35,S009,Doohickey,4,17.74,70.96,CASH
2025-09-01 15:14:55,S009,Apparatus,1,81.29,81.29,WALLET
2025-09-01 08:53:46,S009,Gadget,1,173.85,173.85,UPI
2025-09-01 18:38:36,S009,Contraption,5,142.9,714.5,WALLET
2025-09-01 15:59:52,S010,Thingamajig,1,83.73,83.73,CARD
2025-09-01 18:33:49,S003,Thingamajig,1,77.15,77.15,CASH
2025-09-01 12:14:51,S009,Doohickey,1,20.63,20.63,WALLET
2025-09-01 19:35:01,S006,Thingamajig,4,71.43,285.72,WALLET
2025-09-01 14:08:00,S007,Thingamajig,2,75.66,151.32,CASH
2025-09-01 14:21:26,S006,Widget,4,98.79,395.16,CASH
2025-09-01 17:23:10,S001,Apparatus,4,99.15,396.6,CARD
2025-09-01 12:19:15,S005,Thingamajig,4,71.39,285.56,CARD
