order_time,store_id,item,quantity,price,payment_type
2025-09-03 19:54:39,S004,Doodad,5,44.99,WALLET
2025-09-03 15:37:54,S006,Doodad,1,43.11,UPI
2025-09-03 11:29:56,S003,Apparatus,5,101.13,UPI
2025-09-03 08:09:16,S004,Gadget,2,143.38,WALLET
2025-09-03 16:50:25,S002,Whatsit,3,59.88,CARD
2025-09-03 22:36:11,S005,Thingamajig,4,93.94,CASH
2025-09-03 17:35:12,S009,Thingamajig,1,93.11,CARD
2025-09-03 09:33:09,S003,Doohickey,1,22.22,UPI
2025-09-03 08:16:22,S001,Gadget,5,154.08,CARD
2025-09-03 20:53:40,S003,Gadget,2,164.62,CASH
2025-09-03 18:07:22,S002,Apparatus,4,97.59,CARD
2025-09-03 17:13:21,S009,Doodad,5,40.92,CASH
2025-09-03 13:04:16,S010,Doohickey,5,20.22,CASH
2025-09-03 16:19:24,S006,Apparatus,5,102.75,CARD
2025-09-03 08:01:12,S002,Apparatus,1,84.9,WALLET
2025-09-03 16:27:11,S007,Gadget,5,144.07,WALLET
2025-09-03 11:46:44,S004,Doodad,3,45.83,CASH
2025-09-03 12:47:09,S001,Doohickey,1,17.21,CASH
2025-09-03 09:54:26,S010,Apparatus,1,96.4,UPI
2025-09-03 18:24:31,S007,Widget,4,89.32,CARD
2025-09-03 17:40:56,S006,Doohickey,1,20.03,CARD
2025-09-03 19:01:28,S004,Gadget,3,157.88,WALLET
2025-09-03 17:42:07,S009,Thingamajig,5,91.86,WALLET
2025-09-03 09:03:12,S010,Contraption,5,147.29,CARD
2025-09-03 08:01:06,S008,Doodad,2,46.15,CARD
2025-09-03 13:06:13,S010,Widget,2,97.88,CASH
2025-09-03 22:33:00,S005,Doodad,1,41.22,WALLET
2025-09-03 08:07:11,S007,Widget,3,90.64,CARD
2025-09-03 09:30:52,S001,Gadget,5,160.71,CASH
2025-09-03 15:24:51,S007,Thingamajig,2,92.4,WALLET
2025-09-03 15:37:59,S009,Widget,1,93.64,CASH
2025-09-03 14:55:51,S007,Doodad,1,46.25,UPI
2025-09-03 08:02:40,S009,Widget,3,102.56,WALLET
2025-09-03 22:50:12,S008,Widget,4,110.12,WALLET
2025-09-03 17:11:19,S008,Doodad,3,45.05,CARD
2025-09-03 08:57:17,S001,Widget,4,95.97,CASH
2025-09-03 19:07:04,S001,Apparatus,5,98.19,WALLET
2025-09-03 21:41:06,S006,Gadget,3,160.82,UPI
2025-09-03 20:45:40,S009,Apparatus,4,104.23,WALLET
